place, adjective, misc
Afro-Eurasia,Afro-Eurasian,Afro-Eurasians
Africa,African,Africans
Eurasia,Eurasian,Eurasians
Asia,Asian,Asians
Middle East,Middle Eastern,Middle Easterners
Europe,European,Europeans
Americas,Americana,Americansa
North America,North American,North Americans
Caribbean,Caribbean,Caribbeans
West Indies,West Indian,West Indians
Central America,Central American,Central Americans
Northern America,Northern American,Northern Americans
South America,South American,South Americans
Antarctica,Antarctic,Antarcticans
Oceania,Oceanian,Oceanians
Australasia,Australasian,Australasians
Australiab,Australianb,Australiansb
Zealandia,Zealandian,Zealandians
Pacific Islands,Pacific Islands,Pacific Islanders
