place,adjective
"Abkhazia","Abkhaz"
"Afghanistan","Afghan"
"Albania","Albanian"
"Algeria","Algerian"
"American Samoa","American Samoan"
"Andorra","Andorran"
"Angola","Angolan"
"Anguilla","Anguillan"
"Antarctica","Antarctic"
"Antigua and Barbuda","Antiguan"
"Argentina","Argentinian"
"Armenia","Armenian"
"Aruba","Aruban"
"Australia","Australian"
"Austria","Austrian"
"Azerbaijan","Azerbaijani"
"Bahamas","Bahamian"
"Bahrain","Bahraini"
"Bangladesh","Bangladeshi"
"Barbados","Barbadian"
"Belarus","Belarusian"
"Belgium","Belgian"
"Belize","Belizean"
"Benin","Beninese"
"Bermuda","Bermudan"
"Bhutan","Bhutanese"
"Bolivia","Bolivian"
"Bonaire","Bonaire"
"Bosnia","Bosnian"
"Botswana","Botswanan"
"Brazil","Brazilian"
"Brunei","Bruneian"
"Bulgaria","Bulgarian"
"Burma","Burmese"
"Burundi","Burundian"
"Cabo Verde","Cabo Verdean"
"Cambodia","Cambodian"
"Cameroon","Cameroonian"
"Canada","Canadian"
"Cayman Islands","Caymanian"
"Central African Republic","Central African"
"Chad","Chadian"
"Chile","Chilean"
"China","Chinese"
"Christmas Island","Christmas Island"
"Cocos Islands","Cocos Island"
"Colombia","Colombian"
"Comoros","Comoran"
"Congo","Congolese"
"Congo","Congolese"
"Cook Islands","Cook Island"
"Costa Rica","Costa Rican"
"Croatia","Croatian"
"Cuba","Cuban"
"Cyprus","Cypriot"
"Czech Republic","Czech"
"Denmark","Danish"
"Djibouti","Djiboutian"
"Dominica","Dominican"
"Dominican Republic","Dominican"
"East Timor","Timorese"
"Ecuador","Ecuadorian"
"Egypt","Egyptian"
"El Salvador","Salvadoran"
"England","English"
"Equatorial Guinea","Equatoguinean"
"Eritrea","Eritrean"
"Estonia","Estonian"
"Eswatini","Swaz"
"Ethiopia","Ethiopian"
"European Union","European"
"Falkland Islands","Falkland Island"
"Faroe Islands","Faroese"
"Fiji","Fijian"
"Finland","Finnish"
"France","French"
"French Guiana","French Guianese"
"French Polynesia","French Polynesian"
"French Southern Territories","French Southern Territories"
"Gabon","Gabonese"
"Gambia, The","Gambian"
"Georgia","Georgian"
"Germany","German"
"Ghana","Ghanaian"
"Gibraltar","Gibraltar"
"Greece","Greek"
"Greenland","Greenlandic"
"Grenada","Grenadian"
"Guadeloupe","Guadeloupe"
"Guam","Guamanian"
"Guatemala","Guatemalan"
"Guernsey","Channel Island"
"Guinea","Guinean"
"Guinea Bissau","Bissau Guinean"
"Guyana","Guyanese"
"Haiti","Haitian"
"Honduras","Honduran"
"Hong Kong","Hong Konger"
"Hungary","Hungarian"
"Iceland","Icelandic"
"India","Indian"
"Indonesia","Indonesian"
"Iran, Islamic Republic of","Iranian, Persian"
"Iraq","Iraqi"
"Ireland","Irish"
"Isle of Man","Manx"
"Israel","Israeli, Israelite"
"Italy","Italian"
"Ivory Coast","Ivorian"
"Jamaica","Jamaican"
"Jan Mayen","Jan Mayen"
"Japan","Japanese"
"Jersey","Channel Island"
"Jordan","Jordanian"
"Kazakhstan","Kazakhstani"
"Kenya","Kenyan"
"Kiribati","I Kiribati"
"North Korea","North Korean"
"South Korea","South Korean"
"Kosovo","Kosovar"
"Kuwait","Kuwaiti"
"Kyrgyzstan","Kyrgyzstani"
"Lao People's Democratic Republic","Lao"
"Latvia","Latvian"
"Lebanon","Lebanese"
"Lesotho","Basotho"
"Liberia","Liberian"
"Libya","Libyan"
"Liechtenstein","Liechtensteiner"
"Lithuania","Lithuanian"
"Luxembourg","Luxembourg"
"Macau","Macanese"
"North Macedonia","Macedonian"
"Madagascar","Malagasy"
"Malawi","Malawian"
"Malaysia","Malaysian"
"Maldives","Maldivian"
"Mali","Malian"
"Malta","Maltese"
"Marshall Islands","Marshallese"
"Martinique","Martiniquais"
"Mauritania","Mauritanian"
"Mauritius","Mauritian"
"Mayotte","Mahoran"
"Mexico","Mexican"
"Micronesia, Federated States of","Micronesian"
"Moldova","Moldovan"
"Mongolia","Mongolian"
"Montenegro","Montenegrin"
"Montserrat","Montserratian"
"Morocco","Moroccan"
"Mozambique","Mozambican"
"Myanmar","Myanma or Burmese"
"Namibia","Namibian"
"Nauru","Nauruan"
"Nepal","Nepali, Nepalese"
"Netherlands","Dutch, Netherlandic"
"New Caledonia","New Caledonian"
"New Zealand","New Zealandic"
"Nicaragua","Nicaraguan"
"Niger","Nigerien"
"Nigeria","Nigerian"
"Niue","Niuean"
"Norfolk Island","Norfolk Island"
"Northern Ireland","Northern Irish"
"Northern Mariana Islands","Northern Marianan"
"Norway","Norwegian"
"Oman","Omani"
"Pakistan","Pakistani"
"Palau","Palauan"
"Palestine","Palestinian"
"Panama","Panamanian"
"Papua New Guinea","Papuan"
"Paraguay","Paraguayan"
"Peru","Peruvian"
"Philippines","Filipino, Philippine"
"Pitcairn Islands","Pitcairn Island"
"Poland","Polish"
"Portugal","Portuguese"
"Puerto Rico","Puerto Rican"
"Qatar","Qatari"
"Romania","Romanian"
"Russia","Russian"
"Rwanda","Rwandan"
"Saba","Saba"
"Saint Helena, Ascension and Tristan da Cunha","Saint Helenian"
"Saint Kitts and Nevis","Kittitian or Nevisian"
"Saint Lucia","Saint Lucian"
"Saint Martin","Saint Martinoise"
"Saint Pierre and Miquelon","Saint Pierrais, Miquelonnais"
"Saint Vincent and the Grenadines","Vincentian"
"Samoa","Samoan"
"San Marino","Sammarinese"
"Saudi Arabia","Saudi, Saudi Arabian"
"Scotland","Scottish"
"Senegal","Senegalese"
"Serbia","Serbian"
"Seychelles","Seychellois"
"Sierra Leone","Sierra Leonean"
"Singapore","Singaporean"
"Sint Eustatius","Statian"
"Sint Maarten","Sint Maarten"
"Slovakia","Slovak"
"Slovenia","Slovenian, Slovene"
"Solomon Islands","Solomon Island"
"Somalia","Somali"
"Somaliland","Somalilander"
"South Africa","South African"
"South Georgia and the South Sandwich Islands","South Georgia Island, South Sandwich Island"
"South Ossetia","South Ossetian"
"South Sudan","South Sudanese"
"Spain","Spanish"
"Sri Lanka","Sri Lankan"
"Sudan","Sudanese"
"Suriname","Surinamese"
"Svalbard","Svalbard resident"
"Swaziland","Swazi"
"Sweden","Swedish"
"Switzerland","Swiss"
"Syrian Arab Republic","Syrian"
"Tajikistan","Tajikistani"
"Tanzania","Tanzanian"
"Thailand","Thai"
"Timor Leste","Timorese"
"Togo","Togolese"
"Tokelau","Tokelauan"
"Tonga","Tongan"
"Trinidad and Tobago","Trinidadian"
"Tunisia","Tunisian"
"Turkey","Turkish"
"Turkmenistan","Turkmen"
"Tuvalu","Tuvaluan"
"Uganda","Ugandan"
"Ukraine","Ukrainian"
"United Arab Emirates","Emirati"
"United Kingdom","British"
"USA","American"
"America","American"
"United States of America","American"
"Uruguay","Uruguayan"
"Uzbekistan","Uzbek"
"Vanuatu","Ni Vanuat"
"Vatican City State","Vatican"
"Venezuela","Venezuelan"
"Vietnam","Vietnamese"
"Wales","Welsh"
"Western Sahara","Sahrawi"
"Yemen","Yemeni"
"Zambia","Zambian"
"Zimbabwe","Zimbabwean"
