"place","adjective"
"Acarnania","Acarnanian"
"Achaea","Achaean"
"Aegina","Aeginetan"
"Aethaea","Aethaean"
"Aetolia","Aetolian"
"Andalusia","Andalusian"
"Apulia","Apulian"
"Aquitania","Aquitanian"
"Arcadia","Arcadian"
"Argos","Argive"
"Arretium","Arretine"
"Athens","Athenian"
"Bactria","Bactrian"
"Bavaria","Bavarian"
"Boeotia","Boeotian"
"Boiohaemum","Boius"
"Byzantium","Byzantine"
"Calabria","Calabrian"
"Campania","Campanian"
"Cantabria","Cantabrian"
"Caria","Carian"
"Carthage","Carthaginian"
"Carystus","Carystian"
"Catalonia","Catalan"
"Cephalonia","Cephalonian"
"Chalcis","Chalcidian"
"Chios","Chiot"
"Colchis","Colchian"
"Colossae","Colossian"
"Consentia","Consentian"
"Corcyra","Corcyrean"
"Corsica","Corsican"
"Crete","Cretan"
"Croton","Crotonian"
"Cyclades","Cycladian"
"Cyprus","Cypriot"
"Cyrenaica","Cyrenaic"
"Cyrene","Cyrenian"
"Dacia","Dacian"
"Dalmatia","Dalmatian"
"Delos","Delian"
"Dodecanese","Dodecanesian"
"Edonia","Edonian"
"Egesta","Egestan"
"Ephesus","Ephesian"
"Epidamnus or Epidamnos","Epidamnian"
"Epidaurus","Epidaurian"
"Epirus","Epirote"
"Eretria","Eretrian"
"Etruria","Etruscan"
"Euboea","Euboean"
"Galatia","Galatian"
"Gallaecia","Gallaecus"
"Gallia or Gaul","Gaulish"
"Germania","Germanic"
"Iberia","Iberian"
"Illyria","Illyrian"
"Ionia","Ionian"
"Kalymnos","Kalymnian"
"Kaulonia","Kaulonian"
"Knossos","Knossian"
"Larissa","Larissan"
"Latium","Latin"
"Leontini","Leontinian"
"Lesbos","Lesbian"
"Locris","Locrian"
"Lucania","Lucanian"
"Lydia","Lydian"
"Macedonia","Macedonian"
"Maeonia","Maeonian"
"Mantineia","Mantinean"
"Marathon","Marathonian"
"Media","Median"
"Megara","Megarian"
"Melite","Melitian"
"Melos","Melian"
"Mesopotamia","Mesopotamian"
"Messenia","Messenian"
"Miletus","Milesian"
"Mithymna or Methymna","Methymnian"
"Moravia","Moravian"
"Mycenae","Mycenaean"
"Mytilene","Mytilenean"
"Naupactus or Nafpaktos","Naupactian"
"Naxos","Naxian"
"Nisyros","Nisyrian"
"Oea","Oean"
"Olympia","Olympian"
"Oiniades","Oiniadan"
"Orkney Islands","Orcadian"
"Paeonia or Paionia","Paeonian"
"Pamphylia","Pamphylian"
"Paros","Parian"
"Patmos","Patmian"
"Peloponnese","Peloponnesian"
"Pergamum","Pergamian"
"Persia","Persian"
"Philippi","Philippian"
"Phlius","Phliasian"
"Phocis","Phocian"
"Phoenicia","Phoenician"
"Phrygia","Phrygian"
"Pisidia","Pisidian"
"Pontus","Pontian"
"Pylos","Pylosian"
"Rhegion","Rhegian"
"Rhodes","Rhodian"
"Rhithymna","Rhithymnian"
"Rome","Roman"
"Sabinium","Sabine"
"Salamis","Salaminian"
"Samnium","Samnite"
"Samos","Samian"
"Sardinia","Sardinian"
"Sardis","Sardianus"
"Sarmatia","Sauromata"
"Scythia","Scythian"
"Serrae","Serrean"
"Serica","Sere"
"Sicily","Sicilian"
"Sicyon","Sicyonian"
"Silesia","Silesian"
"Skopelos","Skopelitan"
"Sparta","Spartan"
"Suebia","Suebius"
"Symi","Symian"
"Syracuse","Syracusan"
"Taras","Tarentine"
"Tegea","Tegean"
"Tenedos","Tenedian"
"Tenedos","Tenedian"
"Thasos","Thasian"
"Thebes","Theban"
"Thespis","Thespian"
"Thessaly","Thessalian"
"Thrace","Thracian"
"Thria","Thriasian"
"Thuria","Thuriat"
"Thurii","Thurian"
"Thynia","Thynian"
"Trichonos","Trichonian"
"Troezen","Troezenian"
"Troy","Trojan"
"Umbria","Umbrian"
"Xanthi","Xanthian"
"Zakynthos","Zakynthian"
