"place","adjective"
"Cyrenaica","Cyrene"
"Darfur","Darfur"
"Maghreb","Maghreb"
"Mediterranean","Mediterranean"
"Nile River","Nilotic"
"Nubia","Nubian"
"Sahara","Saharan"
"Zanzibar","Zanzibar"
"Aleutian Islands","Aleut"
"Amazon river and Amazon region","Amazonian"
"Andes","Andean"
"Antilles","Antillean"
"Appalachia","Appalachian"
"Caribbean","Caribbean"
"Cascadia","Cascadian"
"Ceara","Cearense"
"Guiana","Guianan"
"Long Island","Long Island"
"Maritimes","Maritime"
"Minas Gerais","Mineiro"
"New England","New England"
"Patagonia","Patagonian"
"Parana","Paranaense"
"Rio de Janeiro (state)","Fluminense"
"St. Lawrence River","Laurentian"
"Upper Peninsula of Michigan","Yoopers"
"West Indies","West Indian"
"Bali","Balinese"
"Balochistan","Balochi"
"Bengal","Bengali"
"Bihar","Bihari"
"Borneo","Bornean"
"Caucasus","Caucasian"
"Gujarat","Gujarati"
"Himalayas","Himalayan"
"Indochina","Indochinese"
"Java","Javanese"
"Kashmir","Kashmiran"
"Korea","Korean"
"Melanesia","Melanesian"
"Moluccas","Moluccan"
"Punjab","Punjabi"
"Siberia","Siberian"
"Indian subcontinent","Subcontinental"
"Sulawesi","Sulawesian"
"Sumatra","Sumatran"
"Sylhet","Sylheti"
"Tibet","Tibetan"
"Arabia","Arab, Arabian"
"Galilee","Galilean"
"Judea","Judaean"
"Levant","Levantine"
"Kurdistan","Kurdish"
"Samaria","Samaritan"
"Antipodesa","Antipodean"
"Melanesia","Melanesian"
"Micronesia","Micronesian"
"Polynesia","Polynesian"
"Tahiti","Tahitian"
"Alps","Alpine"
"Alsace","Alsatian"
"Andalusia","Andalusian"
"Apennines","Apennine"
"Aragon","Aragonese"
"Asturias","Asturian"
"Balkans","Balkan"
"Baltic region","Baltic"
"Bavaria","Bavarian"
"Basque Country","Basque"
"Bohemia","Bohemian"
"Brittany","Breton"
"Burgundy","Burgundian"
"Cambridge","Cantabrigian"
"Campania","Campanian"
"Canterbury (England)","Cantuarian"
"Carinthia","Carinthian"
"Carpathians","Carpathian"
"Castile","Castilian"
"Catalonia","Catalan"
"Caucasus","Caucasian"
"Cornwall","Cornish"
"Corsica","Corsican"
"Courland","Curonian"
"Crete","Cretan"
"Crimea","Crimean"
"Cumbria","Cumbrian"
"Dalmatia","Dalmatian"
"Danube River","Danubian"
"Extremadura","Extremaduran"
"Fife","Fife"
"Flanders","Flemish"
"Franconia","Franconian"
"Friesland","Friesian"
"Galicia","Galician"
"Galloway","Gallovidian"
"Gascony","Gascon"
"Gozo","Gozitan"
"Harrow","Harrovian"
"Hesse","Hessian"
"Holstein","Holsteinian"
"Iberian Peninsula","Iberian"
"Istria","Istrian"
"Jutland","Jutland"
"Karelia","Karelian"
"Lancashire","Lancastrian"
"Lapland","Lapp"
"Lombardy","Lombardic"
"Lorraine","Lorrainian"
"Lusatia","Lusatian"
"Majorca","Majorcan"
"Mediterranean","Mediterranean"
"Menorca","Menorcan"
"Moravia","Moravian"
"Murcia","Murcian"
"Navarre","Navarrese"
"Normandy","Norman"
"Northumberland","Northumbrian"
"Orkney","Orcadian"
"Palatinate","Palatine"
"Peloponnese","Peloponnesian"
"Pennines","Pennine"
"Picardy","Picard"
"Piedmont","Piedmontese"
"Po River","Padane"
"Pomerania","Pomeranian"
"Provence","Provençal"
"Pyrenees","Pyrenean"
"Rhineland","Rhenish"
"Samogitia","Samogitian"
"Sardinia","Sardinian"
"Savoy","Savoyard"
"Saxony","Saxon"
"Scandinavia","Scandinavian"
"Shetland","Shetland"
"Sicily","Sicilian"
"Silesia","Silesian"
"Styria","Styrian"
"Thrace","Thracian"
"Thuringia","Thuringian"
"Transylvania","Transylvanian"
"Tuscany","Tuscan"
"Tyrol","Tyrolese"
"Umbria","Umbrian"
"Veneto","Venetian"
"Wallachia","Wallachian"
"Wallonia","Walloon"
"Westphalia","Westphalian"
"Zeeland","Zeeland"
